mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.3336753845214844,0.06208086457541254,0.04498847325642904,0.011336007904819175,100,2,1,,20,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20}",-1.7713362068965517,-1.3159741379310341,-1.050120689655172,-1.3791436781609192,0.2978039049297138,1
0.9233306248982748,0.0012499111739502655,0.030005613962809246,0.015563370079238695,100,2,1,,10,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10}",-1.7767589973269258,-1.3194060488440091,-1.052271538778038,-1.382812194982991,0.2991496547714372,2
7.460009256998698,0.4912792094353275,0.2959926128387451,0.09393726922852229,500,2,1,,10,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10}",-1.7980248712484022,-1.2969399078519817,-1.0678268943517315,-1.3875972244840387,0.3049167461895038,3
4.026664177576701,0.9093920202817936,0.12666718165079752,0.030576056880642865,300,5,2,,,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}",-1.8223685992726937,-1.3237601296213364,-1.0983786230850894,-1.4148357839930397,0.30250228926897665,4
5.055333932240804,0.2934708049370082,0.18866840998331705,0.02082303230409521,500,2,2,,20,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 20}",-1.835788839690003,-1.3201180995297805,-1.1048782570159716,-1.420261732078585,0.3066802138181024,5
4.701997677485148,0.15463340052076277,0.18733342488606772,0.013959292898529528,500,5,2,,20,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 20}",-1.8368133747861326,-1.3277104283503856,-1.1071895336464295,-1.4239044455943157,0.3055352724918547,6
3.4859979152679443,0.09103591951354639,0.14266633987426758,0.019224013739956986,500,2,1,log2,10,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10}",-1.7236621752590229,-1.2398607622082523,-1.3930173994345574,-1.4521801123006108,0.20189291181669208,7
0.832000732421875,0.17963514831814284,0.043676296869913735,0.0044973510127385985,100,5,1,log2,20,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20}",-1.6476137576503953,-1.2714033916753749,-1.4436339372791958,-1.454217028868322,0.15376944047816649,8
2.210310935974121,0.14877195005898408,0.09166781107584636,0.008731345888631174,300,10,1,log2,20,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20}",-1.706883621363397,-1.261610291098072,-1.4846734829578174,-1.4843891318064288,0.1817821870684369,9
2.114999214808146,0.12451824168987298,0.08766698837280273,0.027524209661351585,300,10,1,sqrt,,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",-1.706883621363397,-1.261610291098072,-1.4846734829578174,-1.4843891318064288,0.1817821870684369,9
